arm_num,unique_event_name,form
1,screening_arm_1,d1_healthy_volunteer_eligibility
1,screening_arm_1,d2_demographics_and_medical_history
1,screening_arm_1,d5_safety_labs_and_vitals
1,day_0__dosing_arm_1,d3a_dose_assignment_and_administration
1,day_0__dosing_arm_1,d4_pk_sampling_schedule
1,day_0__dosing_arm_1,d5_safety_labs_and_vitals
1,day_0__dosing_arm_1,d6_adverse_events_and_saes
1,day_0__dosing_arm_1,d7_volunteer_symptom_diary
1,pk_t30min_arm_1,d4_pk_sampling_schedule
1,pk_t30min_arm_1,d5_safety_labs_and_vitals
1,pk_t1h_arm_1,d4_pk_sampling_schedule
1,pk_t1h_arm_1,d5_safety_labs_and_vitals
1,pk_t2h_arm_1,d4_pk_sampling_schedule
1,pk_t2h_arm_1,d5_safety_labs_and_vitals
1,pk_t4h_arm_1,d4_pk_sampling_schedule
1,pk_t4h_arm_1,d5_safety_labs_and_vitals
1,pk_t8h_arm_1,d4_pk_sampling_schedule
1,pk_t8h_arm_1,d5_safety_labs_and_vitals
1,pk_t8h_arm_1,d6_adverse_events_and_saes
1,pk_t24h_arm_1,d4_pk_sampling_schedule
1,pk_t24h_arm_1,d5_safety_labs_and_vitals
1,pk_t24h_arm_1,d6_adverse_events_and_saes
1,pk_t24h_arm_1,d7_volunteer_symptom_diary
1,pk_t48h_arm_1,d4_pk_sampling_schedule
1,pk_t48h_arm_1,d5_safety_labs_and_vitals
1,pk_t48h_arm_1,d6_adverse_events_and_saes
1,pk_t48h_arm_1,d7_volunteer_symptom_diary
1,day_7_followup_arm_1,d5_safety_labs_and_vitals
1,day_7_followup_arm_1,d6_adverse_events_and_saes
1,day_7_followup_arm_1,d7_volunteer_symptom_diary
1,src_review_arm_1,d3b_safety_review_and_src_esclation